date,species,plant,rep,input_by,potted,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes on plant char,start_time_clocktime,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_fh,fh,time_of_glow_end,thermocoupler_height,hotplate_height,notes on flame data,
2022-07-27,SALLEU,1,8,JC,yes,25.00,7.50,2.00,18.98,7,-2.1,,12:42:51,12:42:51,33.8,33,0,N/A,1,12:49:28,12:49:44,N/A,N/A,N/A,N/A,12:49:29,13.0,13:06:10,19.0,16.0,cannot see glow end time at all,
2022-07-19,HETARB,3,1,AC,yes,24.00,15.50,15.00,30.80,0,-1.75,,12:45:50,12:45:50,31.2,45,0,N/A,M,13:01:38,13:02:17,N/A,N/A,N/A,N/A,13:01:44,22.0,13:02:24,18.0,15.0,,
2022-08-09,MALLAU,7,3,AC,yes,25.00,19.80,13.00,35.49,2,-0.7,,12:48:49,12:48:49,33.2,34,0,N/A,M,12:55:15,12:57:04,N/A,N/A,N/A,N/A,12:56:25,37.0,13:00:41,19.0,15.0,,
2022-08-16,SALLEU,4,3,RD,yes,25.00,6.00,2.90,18.15,0,-0.7,,12:52:27,12:52:27,29.1,41,0,N/A,1,12:55:34,12:55:43,N/A,N/A,N/A,N/A,12:55:36,18.0,13:02:11,19.0,15.0,,
2023-03-08,EUCGLO,2,4,RD,no,25.00,26.00,8.50,28.92,1,-1.85,,12:54:13,12:54:13,41.9,16,0,N/A,M,13:06:44,13:08:00,N/A,N/A,N/A,N/A,13:06:55,24.0,13:08:26,19.0,15.0,one thermocoupler is resting on hot plate (lower left side),
2023-02-15,EUCGLO,1,5,RD,no,25.00,25.20,5.00,27.93,1,-2.5,,12:56:02,12:56:02,44.4,12,0,N/A,M,13:06:38,13:07:10,N/A,N/A,N/A,N/A,13:06:42,33.0,13:08:19,20.0,15.0,one thermocoupler is resting on hot plate (lower left side),
2022-07-13,MALLAU,1,2,JL,yes,25.00,24.00,12.00,29.91,1,-0.8,,12:56:54,12:56:54,29.6,42,0,N/A,M,13:07:39,13:07:50,N/A,N/A,N/A,N/A,13:07:47,18.0,13:09:40,18.0,15.0,"short burn, only burned part of branch",
2022-08-17,SALAPI,10,1,JL,yes,25.00,13.90,8.50,32.46,0,-1,,13:01:29,13:01:29,31.9,36,0,N/A,1,13:03:00,13:03:13,N/A,N/A,N/A,N/A,13:03:04,38.0,13:06:19,19.0,15.0,,
2022-08-09,MALLAU,8,1,AC,yes,25.00,23.50,15.00,30.73,2,-2.3,,13:03:24,13:03:24,34.3,33,0,N/A,M,13:11:23,13:11:39,N/A,N/A,N/A,N/A,13:11:27,57.5,13:21:33,19.0,15.0,,
2022-08-16,SALLEU,4,4,RD,yes,25.00,7.10,5.30,20.37,7,-0.9,,13:03:49,13:03:49,30.4,38,1,13:06:06,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:18:37,19.0,15.0,,
2022-07-20,CEAGRI,2,3,RD,yes,25.00,8.40,6.20,24.06,12,-2.5,,13:07:06,13:07:06,33.7,37,0,N/A,M,13:12:32,13:12:47,N/A,N/A,N/A,N/A,13:12:34,40.0,13:20:08,19.0,14.0,,
2022-07-27,SALLEU,1,9,JC,yes,25.00,20.00,7.50,26.49,9,-1.9,,13:07:54,13:07:54,33.2,34,1,13:08:48,1,13:09:18,13:09:23,13:15:53,13:16:36,13:20:31,13:21:14,13:15:54,15.0,13:22:54,19.0,16.0,glow start by touching pilot flame,
