"","species","plant","date","total_branch_mass","total_leaf_mass","stem_mass_ratio","leaf_mass_ratio","leaf_lfm","thickness","leaf_wet_mass","leaf_dry_mass","stem_lfm","stem_width","stem_wet_mass","stem_dry_mass","lfm","leaf_area","LMA","SLA","rep","input_by","potted","branch_length","branch_width","branch_height","sample_wt","branching","mpa","notes.on.plant.char","start_time","ambient_temp","ambient_humidity","pre_ignition_glow","first_glow_time","ignition","primary_ignition","primary_time_of_flame_end","secondary_ignition","secondary_time_of_flame_end","third_ignition","third_time_of_ignition_flame_end","time_fh","fh","time_of_glow_end","thermocoupler_height","hotplate_height","notes.on.flame.data","Species","fd","tti","pfg","max_temp","time_at_max_temp","start_temp","temp_change","max_heat_flux","time_at_max_heat_flux","max_heat_flux_loessCH7","time_at_max_heat_flux_loessCH7","max_heat_flux_loessCH8","time_at_max_heat_flux_loessCH8","avg_fd_heat_flux","prop_ig"
"21","ARTCAL",4,2022-08-03,18.393,17.702,0.509571962875745,0.490428037124255,177.475216757947,0.204285714285714,0.841428571428573,0.3115,137.854349951125,1.21,0.392333333333333,0.166566666666666,158.073191624998,0.1645264628,5.11424458478404,0.195532298743633,6,"SM","yes",25,5,3.6,1.2064,6,0.16,NA,"12:49:53",32.2,36,1,"0:58","1","12:51:06","12:51:09",NA,NA,NA,NA,"12:51:08",30,"12:52:23",19,16.5,NA,"ARTCAL",3,73,74,227.8,"12:51:09",221.3,6.5,1.013,"12:50:30",0.872164320588626,"12:51:33",0.495,"12:51:19",0.767,0.142857142857143
"22","ARTCAL",4,2022-08-03,18.393,17.702,0.509571962875745,0.490428037124255,177.475216757947,0.204285714285714,0.841428571428573,0.3115,137.854349951125,1.21,0.392333333333333,0.166566666666666,158.073191624998,0.1645264628,5.11424458478404,0.195532298743633,4,"SM","yes",25,7.4,4.7,1.5964,14,0.17,NA,"12:31:49",30.7,39,1,"0:30","0",NA,NA,NA,NA,NA,NA,NA,NA,"12:36:12",19,16.5,NA,"ARTCAL",NA,NA,NA,-Inf,NA,228.6,-Inf,1.01,"12:32:27",0.842864473936198,"12:34:07",0.613881316968354,"12:35:42",NA,0.142857142857143
"23","ARTCAL",4,2022-08-03,18.393,17.702,0.509571962875745,0.490428037124255,177.475216757947,0.204285714285714,0.841428571428573,0.3115,137.854349951125,1.21,0.392333333333333,0.166566666666666,158.073191624998,0.1645264628,5.11424458478404,0.195532298743633,2,"SM","yes",25,7.5,4.5,1.4464,12,0.19,NA,"12:19:54",30.5,39,1,"0:33","0",NA,NA,NA,NA,NA,NA,NA,NA,"12:23:54",19,16.5,NA,"ARTCAL",NA,NA,NA,-Inf,NA,245.4,-Inf,1.041,"12:20:02",0.856014292547309,"12:20:02",0.475536833349412,"12:22:01",NA,0.142857142857143
"24","ARTCAL",4,2022-08-03,18.393,17.702,0.509571962875745,0.490428037124255,177.475216757947,0.204285714285714,0.841428571428573,0.3115,137.854349951125,1.21,0.392333333333333,0.166566666666666,158.073191624998,0.1645264628,5.11424458478404,0.195532298743633,7,"SM","yes",25,5.1,3.1,1.0664,3,0.16,NA,"12:54:27",32.2,37,1,"0:26","0",NA,NA,NA,NA,NA,NA,NA,NA,"13:04:29",19,16.5,NA,"ARTCAL",NA,NA,NA,-Inf,NA,220.1,-Inf,1.045,"12:58:33",0.821540654423717,"12:59:35",0.477898847741269,"13:01:50",NA,0.142857142857143
"25","ARTCAL",4,2022-08-03,18.393,17.702,0.509571962875745,0.490428037124255,177.475216757947,0.204285714285714,0.841428571428573,0.3115,137.854349951125,1.21,0.392333333333333,0.166566666666666,158.073191624998,0.1645264628,5.11424458478404,0.195532298743633,1,"SM","yes",25,5,3,1.1264,17,0.22,NA,"12:12:33",29.5,40,1,"0:43","0",NA,NA,NA,NA,NA,NA,NA,NA,"12:17:01",19,16.5,NA,"ARTCAL",NA,NA,NA,-Inf,NA,250.4,-Inf,1,"12:16:05",0.865908341482064,"12:16:05",0.489874229447825,"12:16:45",NA,0.142857142857143
"26","ARTCAL",4,2022-08-03,18.393,17.702,0.509571962875745,0.490428037124255,177.475216757947,0.204285714285714,0.841428571428573,0.3115,137.854349951125,1.21,0.392333333333333,0.166566666666666,158.073191624998,0.1645264628,5.11424458478404,0.195532298743633,3,"SM","yes",25,7,2.5,1.2964,6,0.22,NA,"12:25:37",30.5,39,1,"0:37","0",NA,NA,NA,NA,NA,NA,NA,NA,"12:30:01",19,16.5,NA,"ARTCAL",NA,NA,NA,-Inf,NA,236.5,-Inf,1.008,"12:26:20",0.846343847827947,"12:25:53",0.475911938509421,"12:28:07",NA,0.142857142857143
"27","ARTCAL",5,2022-08-03,18.44,17.396,0.514566357852439,0.485433642147561,161.229314420805,0.184,0.441999999999999,0.169199999999999,126.258763543658,1.804,0.710000000000001,0.313800000000001,138.509316770187,0.2291490208,1.92887579644416,0.518436698642535,4,"SM","yes",25,3,2.2,0.776400000000002,0,0.11,NA,"13:48:32",31.6,39,1,"2:13","0",NA,NA,NA,NA,NA,NA,NA,NA,"13:53:30",19,16.5,NA,"ARTCAL",NA,NA,NA,-Inf,NA,223,-Inf,1.057,"13:50:44",0.864307277162381,"13:50:44",0.484614386151443,"13:52:11",NA,0.142857142857143
"28","ARTCAL",5,2022-08-03,18.44,17.396,0.514566357852439,0.485433642147561,161.229314420805,0.184,0.441999999999999,0.169199999999999,126.258763543658,1.804,0.710000000000001,0.313800000000001,138.509316770187,0.2291490208,1.92887579644416,0.518436698642535,6,"SM","yes",25,2.6,2,0.936400000000003,1,0.12,NA,"14:02:31",32.3,38,0,NA,"1","14:06:19","14:06:26",NA,NA,NA,NA,"14:06:19",18,"14:10:36",19,16.5,NA,"ARTCAL",7,228,250,232,"14:06:19",226.2,5.80000000000001,1.053,"14:09:39",0.850195964504871,"14:08:44",0.491985453637693,"14:09:18",0.7744375,0.142857142857143
"29","ARTCAL",5,2022-08-03,18.44,17.396,0.514566357852439,0.485433642147561,161.229314420805,0.184,0.441999999999999,0.169199999999999,126.258763543658,1.804,0.710000000000001,0.313800000000001,138.509316770187,0.2291490208,1.92887579644416,0.518436698642535,3,"SM","yes",25,2.9,3,1.7264,2,0.17,NA,"13:34:09",31.6,41,1,"0:52","0",NA,NA,NA,NA,NA,NA,NA,NA,"13:42:10",19,16.5,NA,"ARTCAL",NA,NA,NA,-Inf,NA,222.2,-Inf,1.067,"13:41:48",0.839654884116201,"13:37:11",0.479349766349912,"13:40:12",NA,0.142857142857143
"30","ARTCAL",5,2022-08-03,18.44,17.396,0.514566357852439,0.485433642147561,161.229314420805,0.184,0.441999999999999,0.169199999999999,126.258763543658,1.804,0.710000000000001,0.313800000000001,138.509316770187,0.2291490208,1.92887579644416,0.518436698642535,2,"SM","yes",25.2,2.5,2.6,1.2464,3,0.12,NA,"13:28:13",31.9,40,1,"0:55","1","13:30:01","13:30:09",NA,NA,NA,NA,"13:30:01",9,"13:32:29",19,16.5,NA,"ARTCAL",8,108,140,227.7,"13:30:01",219.1,8.59999999999999,1.044,"13:32:09",0.834836948246471,"13:29:53",0.469756791175421,"13:29:38",0.773833333333333,0.142857142857143
