"","species","plant","date","total_branch_mass","total_leaf_mass","stem_mass_ratio","leaf_mass_ratio","leaf_lfm","thickness","leaf_wet_mass","leaf_dry_mass","stem_lfm","stem_width","stem_wet_mass","stem_dry_mass","lfm","leaf_area","auc_voc","avg_voc","norm_avg_voc","norm_auc_voc","LMA","SLA"
"30","HETARB",12,2022-08-31,18.04,20.784,0.464661034411704,0.535338965588296,111.275791920953,0.396,1.454,0.6882,88.5949845413948,2.72,1.098,0.5822,100.88161209068,NA,16359.8,874.17,2444.41026788211,45746.3229125888,0.191241282834906,5.2748308125013
"31","HETARB",2,2022-07-19,21.904,21.167,0.508555640686309,0.491444359313691,92.7227448810182,0.364,2.786,1.4456,89.7435897435904,3.26,0.407,0.214499999999999,92.3378109752424,14.273442095,16359.8,874.17,2444.41026788211,45746.3229125888,0.195187676627486,5.12327426238335
"32","HETARB",3,2022-07-19,22.874,21.94,0.510420850627036,0.489579149372964,89.8781984703988,0.316,2.011,1.0591,103.316749585406,2.4525,0.613,0.301500000000001,92.8560929001905,11.42650824,16359.8,874.17,2444.41026788211,45746.3229125888,0.175994272069942,5.68200310293388
"33","HETARB",4,2022-07-19,25.283,23.399,0.519350067786862,0.480649932213138,100.803542144965,0.32,2.449,1.2196,106.332992849847,3.415,1.414,0.6853,102.79279752218,12.8622522784,16359.8,874.17,2444.41026788211,45746.3229125888,0.190402112086752,5.25204257999184
"34","HETARB",5,2022-07-19,27.077,25.455,0.515438209091601,0.484561790908399,112.54382547721,0.324,2.728,1.2835,113.293438768967,3.08,0.997999999999999,0.4679,112.744090441932,14.706794414,16359.8,874.17,2444.41026788211,45746.3229125888,0.18549249572722,5.39105367082111
"35","HETARB",6,2022-07-19,27.537,25.756,0.516709511568123,0.483290488431877,86.0896803758921,0.374,3.20800000000001,1.7239,96.0068699012449,2.925,0.912999999999998,0.4658,88.1992967073117,15.272470468,16359.8,874.17,2444.41026788211,45746.3229125888,0.210051150972702,4.76074515835411
"36","HETARB",7,2022-07-20,23.496,22.179,0.514417077175698,0.485582922824302,94.4712072926704,0.406,2.624,1.3493,106.125425376762,2.85,0.848000000000001,0.4114,97.1942977224968,13.475545516,16359.8,874.17,2444.41026788211,45746.3229125888,0.194723100217682,5.13549752896341
"37","HETARB",8,2022-08-10,30.867,28.933,0.516170568561873,0.483829431438127,89.7822261328639,0.388,3.451,1.8184,94.5888311342128,3.64,1.46,0.750300000000001,91.1862031377738,15.961654372,16359.8,874.17,2444.41026788211,45746.3229125888,0.216205658860385,4.62522583946682
"38","HETARB",9,2022-08-31,17.14,18.373,0.48264015994143,0.51735984005857,104.559585492228,0.416,0.986999999999998,0.4825,104.102564102564,1.99,0.199,0.0975000000000001,104.482758620689,6.3790114392,16359.8,874.17,2444.41026788211,45746.3229125888,0.154726168687319,6.46303084012159
"39","IRIDOU",1,2022-08-10,20.104,20.104,0.5,0.5,189.297658862877,0.278,2.941,1.0166,NA,NA,NA,NA,189.297658862877,20.650738642,2603.55,144.62,4187.02953097858,75377.8228141286,0.142416213336724,7.02167243862632
