"","species","ignition","prop_ig","fh","fd","temp_change","heat_flux_change","r_fh","r_fd","r_temp_change","r_heat_flux_change","plant"
"31","CEAGRI","1",0.166666666666667,0.916194082022675,-0.174657420618624,0.564959589635984,0.961949476588509,0.416880760315347,-0.292297419597814,0.462369315741324,0.806526003157148,2
"32","CEAGRI","M",0.166666666666667,1.22797356068114,2.30890406787946,-0.831864400263735,0.910059264282212,0.11373025979276,2.12015920477206,-0.506163977149237,0.650888062362531,3
"33","CEAGRI","M",0.166666666666667,1.15002869101652,-0.620424867272126,-0.203627773227498,-0.121083313897289,0.306414256811741,-0.618792190939482,0.23176325980531,-0.0352607314039722,3
"34","CEAGRI","M",0.166666666666667,1.61769790900422,-0.556743803464483,-0.51106271837289,1.22583476977392,0.636051884161617,-0.652211317930576,-0.131618301643798,1.13569666704454,3
"35","CEAGRI","M",0.166666666666667,0.994138951687291,1.22632598314953,-0.892014715618269,1.12787788265583,-0.179881809713528,0.995529856310391,-0.59054314208412,0.792503234379862,3
"36","CEAGRI","M",0.166666666666667,0.682359473028828,0.398472153650165,-0.644730085827408,0.51266662348103,0.0224248720350028,0.529316894903963,-0.134890405902254,0.832641613869112,3
"37","CEAGRI","M",0.166666666666667,1.22797356068114,0.334791089842522,-0.584579770472877,0.525805209590899,0.346318924332076,0.309663871073152,-0.164607096263928,0.563134689857489,3
"38","CEAGRI","M",0.166666666666667,0.916194082022675,0.334791089842522,-0.838547768636461,0.637649672415974,0.718076682348371,0.362419092845694,-0.151548404864121,0.827616900944315,4
"39","CEAGRI","M",0.166666666666667,0.526469733699597,-0.620424867272126,-0.103377247636609,-0.526634889910587,0.621805321995458,-0.386363387767702,0.702563741348356,0.0374219843667866,4
"40","CEAGRI","M",0.166666666666667,0.760304342693444,0.653196408880738,-1.56035155289086,0.958707921875853,-1.07462861210334,-0.470615645934186,-1.53678214308227,-0.937913762551527,4
"41","CEAGRI","M",0.166666666666667,0.448524864034981,-0.110976356810981,-1.54030144777268,0.0604846384408987,0.549294766922882,0.126907964850874,-0.732157836098596,0.631469098750662,4
"42","CEAGRI","1",0.166666666666667,0.916194082022675,3.26412002499411,-0.163527562991143,-0.00346353368761199,0.65829922183593,3.24969676426554,0.499242951200848,0.110300248484444,4
"43","CEAGRI","M",0.166666666666667,-0.0191443539527126,0.207428962227236,-0.470962508136535,-0.0943854197126949,-0.234651560321546,0.22282387032663,0.208988463030613,0.073413533511999,4
"44","CEAGRI","M",0.166666666666667,0.370579994370366,0.0800668346119491,-0.972215136090979,-0.519805085749416,0.156357177676424,0.360766988437027,-0.329695218612629,0.125041133142889,5
"45","CEAGRI","1",0.166666666666667,1.22797356068114,0.462153217457808,-0.404128824409275,0.177279235295456,0.605090286665781,0.455375641044105,0.0727538668470485,0.30117098455207,5
"46","CEAGRI","1",0.166666666666667,1.22797356068114,1.0352827917266,-0.638046717454683,-0.16690375224689,0.801812474897632,1.16689210141188,-0.0814290848521178,0.207766611382225,5
"47","CEAGRI","1",0.166666666666667,1.07208382135191,0.653196408880738,-0.818497663518282,-0.217188667500582,0.757869616164427,0.863556267009093,-0.21650600351979,0.300189968395756,5
"48","CEAGRI","M",0.166666666666667,-0.25297896294656,0.780558536496024,-0.551162928609247,-0.458919826677726,-0.0440253895464386,1.08572488012866,-0.659966966006741,0.214237855878368,6
"49","CEAGRI","M",0.166666666666667,0.604414603364213,0.844239600303668,0.431292222181466,-0.434948179253603,0.714463651189204,1.07983021667106,0.282400451841939,0.112127437513001,6
"50","CEAGRI","M",0.166666666666667,0.136745385376519,-0.238338484426267,-0.564529665354696,-0.561340584186499,0.256576199467182,0.00413324782450463,-0.709456714853802,-0.0017953125615935,6
"51","ERIKAR","M",0.0408163265306122,-0.798593050598869,-0.747786994887413,0.123857277036073,-0.639267654010532,-0.187900400224789,-0.338639344572667,0.372183799005996,0.1983958911017,1
"52","ERIKAR","1",0.0408163265306122,-0.954482789928101,-0.811468058695056,-0.544479560236519,-0.792856942143405,-0.367701123758997,-0.419140913873005,-0.305844578098736,0.014325224426314,1
