date,species,plant,rep,input_by,potted,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes.on.plant.char,start_time_clocktime,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_fh,fh,time_of_glow_end,thermocoupler_height,hotplate_height,notes.on.flame.data,X,fd,tti,pfg,gd,gti,ttfg,max_temp,time_at_max_temp,start_temp,temp_change,max_heat_flux,time_at_max_heat_flux,max_heat_flux_loessCH7,time_at_max_heat_flux_loessCH7,max_heat_flux_loessCH8,time_at_max_heat_flux_loessCH8
2023-03-08,EUCGLO,2,1,RD,no,25,30,9.7,34.68,2,-3,,12:00:01,12:00:01,36.6,23,0,NA,M,12:12:25,12:13:15,N/A,N/A,N/A,N/A,12:12:35,60,12:14:18,20,15,one thermocoupler is resting on hot plate (lower left side),NA,50,744,63,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2023-03-08,EUCGLO,2,2,RD,no,25,12.9,8.3,38.94,0,-2.3,,12:18:56,12:18:56,35.5,20,0,NA,M,12:32:39,12:34:53,N/A,N/A,N/A,N/A,12:33:06,34,12:35:08,20,15,one thermocoupler is resting on hot plate (lower left side) and another two thermocouplers crossed (back wall),NA,134,823,15,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2023-03-08,EUCGLO,2,3,RD,no,25,26.4,6.3,33.14,1,-2.1,,12:38:48,12:38:48,41,14,0,NA,M,12:50:42,12:52:11,N/A,N/A,N/A,N/A,12:50:44,22,12:52:52,19,15,one thermocoupler is resting on hot plate (lower left side),NA,89,714,41,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2023-02-15,EUCGLO,1,4,RD,no,25,23.3,3.5,27.06,0,-2.3,,12:41:03,12:41:03,41.4,13,0,NA,M,12:50:50,12:51:47,N/A,N/A,N/A,N/A,12:50:51,20,12:53:19,20,15,one thermocoupler is resting on hot plate (lower left side),NA,57,587,92,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2023-03-08,EUCGLO,2,4,RD,no,25,26,8.5,28.92,1,-1.85,,12:54:13,12:54:13,41.9,16,0,NA,M,13:06:44,13:08:00,N/A,N/A,N/A,N/A,13:06:55,24,13:08:26,19,15,one thermocoupler is resting on hot plate (lower left side),NA,76,751,26,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2023-02-15,EUCGLO,1,5,RD,no,25,25.2,5,27.93,1,-2.5,,12:56:02,12:56:02,44.4,12,0,NA,M,13:06:38,13:07:10,N/A,N/A,N/A,N/A,13:06:42,33,13:08:19,20,15,one thermocoupler is resting on hot plate (lower left side),NA,32,636,69,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2023-03-08,EUCGLO,2,5,RD,no,25,16.1,4.6,25.49,1,-2.25,,13:09:34,13:09:34,41.3,15,0,NA,M,13:21:25,13:22:22,N/A,N/A,N/A,N/A,13:21:26,63,13:24:33,19,15,one thermocoupler is resting on hot plate (lower left side),NA,57,711,131,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2022-12-20,QUEAGR,4,1,RD,no,25,16.5,13.3,29.66,8,-2.2,,13:14:19,13:14:19,44.4,29,0,NA,M,13:26:04,13:26:09,N/A,N/A,N/A,N/A,13:26:04,24,13:26:11,19,15,,NA,5,705,2,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2023-03-08,EUCGLO,2,6,RD,no,25,7.1,4,28.96,0,-2.55,,13:26:37,13:26:37,38.6,17,0,NA,1,13:27:23,13:28:32,N/A,N/A,N/A,N/A,13:27:31,33,13:32:02,19,15,one thermocoupler is resting on hot plate (lower left side),NA,69,46,210,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2023-01-06,QUEAGR,7,1,RD,no,25,22,18.5,34.68,10,-2.75,,13:27:46,13:27:46,45.2,26,0,NA,M,13:38:09,13:38:16,N/A,N/A,N/A,N/A,13:38:12,31,13:45:13,19,15,ignited by sample touching pilot flame (not intentional manual ignition),NA,7,623,417,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2023-01-03,QUEAGR,5,1,RD,no,25,19.4,15.3,37.91,3,-2.4,,13:35:43,13:35:43,30.5,44,0,NA,M,13:55:18,13:56:27,N/A,N/A,N/A,N/A,13:55:40,38,13:58:20,19,15,,NA,69,1175,113,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2022-11-29,QUEAGR,2,1,KF,no,25,10,7,25.93,1,-1.8,,13:39:35,13:39:35,26.4,33,0,NA,1,13:41:50,13:42:11,N/A,N/A,N/A,N/A,13:42:06,27,13:44:05,19,15,,NA,21,135,114,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2022-11-29,QUEAGR,2,2,KF,no,25,23,23,47.5,6,-1.7,,13:46:05,13:46:05,24.6,34,0,NA,M,14:03:58,14:05:22,N/A,N/A,N/A,N/A,14:04:04,82,14:11:50,19,15,,NA,84,1073,388,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2023-01-03,QUEAGR,5,2,RD,no,25,19.2,16,37.4,5,-1.95,Y shaped,14:01:14,14:01:14,23.7,44,0,NA,M,14:08:24,14:08:34,14:15:32,14:15:49,N/A,N/A,14:15:34,30,14:18:33,19,15,ignited by sample touching pilot flame; max flame height from MANUAL second ignition,NA,10,430,599,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2023-01-06,QUEAGR,7,3,RD,no,25,18.6,12.3,28.58,6,-2.3,,14:07:23,14:07:23,22.7,40,0,NA,M,14:08:05,14:08:23,14:22:22,14:23:01,N/A,N/A,14:22:23,53,14:26:16,19,15,first ignited by sample touching pilot flame (fh = 25 @ 14:08:19); second ignition is manual,NA,18,42,1073,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2023-01-03,QUEAGR,5,3,RD,no,25,16.2,9.8,29,0,-2.45,,14:19:38,14:19:38,22.1,44,0,NA,M,14:21:10,14:21:46,N/A,N/A,N/A,N/A,14:21:33,21,14:22:44,19,15,ignited by sample touching pilot flame (but not intentional manual ignition),NA,36,92,58,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2023-01-03,QUEAGR,5,4,RD,no,25,11.1,6.6,28.24,5,-2.3,,14:24:02,14:24:02,22.1,44,0,NA,M,14:38:58,14:39:34,N/A,N/A,N/A,N/A,14:39:17,38,14:40:25,19,15,,NA,36,896,51,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2022-11-29,QUEAGR,2,3,KF,no,25,12,6,27.88,4,-1.9,,14:24:05,14:24:05,21.7,34,0,NA,M,14:39:06,14:39:34,N/A,N/A,N/A,N/A,14:39:07,44,14:40:20,19,15,,NA,28,901,46,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2022-12-20,QUEAGR,4,5,RD,no,25,20.4,11,25.71,7,-2.15,,14:41:46,14:41:46,20.8,38,0,NA,M,14:59:53,15:01:09,N/A,N/A,N/A,N/A,15:00:09,63,15:01:40,19,15,,NA,76,1087,31,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
2023-01-03,QUEAGR,5,5,RD,no,25,14.2,12.2,26.87,3,-1,,14:42:12,14:42:12,22.1,42,0,NA,M,14:57:16,14:58:33,N/A,N/A,N/A,N/A,14:57:19,28,15:00:49,19,15,,NA,77,904,136,NA,NA,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA
