,date,species,plant,rep,input_by,trt,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes on plant char,start_time_clocktime,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_of_max_flame_height,max_flame_height,time_of_glow_end,thermocoupler_height,hotplate_height,notes on flame data,end_time_clock_time,maxflameht_time_clock_time,firstigstart_time_clock_time,secondigstart_time_clock_time,firstigend_time_clock_time,secondigend_time_clock_time
342,2022-11-01,SALLEU,P11,R4,RD,W,25.0,5,3.6,18.66,1.0,-1.0,,,,23.5,53.0,0,,M,2023-04-13 14:16:43,2023-04-13 14:16:47,,,,,2023-04-13 14:16:44,16,,19.0,17.0,sample loaded shortly before video start (started at 14:11:46) still glowing when video ends,,,,,,
343,2022-11-01,SALLEU,P11,R5,RD,W,25.0,9,3.5,19.688,1.0,-0.9,V-shaped,2023-04-13 14:19:27,2023-04-13 14:19:27,23.3,52.0,0,,M,2023-04-13 14:25:39,2023-04-13 14:26:41,,,,,2023-04-13 14:25:42,32,2023-04-13 14:27:38,19.0,17.0,,2023-04-13 14:27:38,2023-04-13 14:25:42,2023-04-13 14:25:39,,2023-04-13 14:26:41,
344,2022-11-01,SALLEU,P12,R1,RD,W,25.0,14.5,12.0,26.125,7.0,-1.0,,2023-04-13 14:29:42,2023-04-13 14:29:42,23.7,51.0,0,,1,2023-04-13 14:32:28,2023-04-13 14:32:49,,,,,2023-04-13 14:32:35,42,2023-04-13 14:33:21,19.0,17.0,ignited by touching pilot flame,2023-04-13 14:33:21,2023-04-13 14:32:35,2023-04-13 14:32:28,,2023-04-13 14:32:49,
345,2022-11-01,SALLEU,P12,R2,RD,W,24.0,5.2,4.6,19.806,4.0,-0.8,,,,24.1,48.0,0,,M,2023-04-13 14:41:21,2023-04-13 14:41:35,,,,,2023-04-13 14:41:25,24,2023-04-13 14:43:57,19.0,17.0,loaded before video start (started at 14:35:33),,,,,,
346,2022-11-01,SALLEU,P12,R3,RD,W,25.0,9,5.0,20.005,5.0,-1.0,,2023-04-13 14:45:14,2023-04-13 14:45:14,24.9,47.0,1,14:45:18,M,2023-04-13 14:50:14,2023-04-13 14:50:54,,,,,2023-04-13 14:50:19,22,2023-04-13 14:52:09,19.0,17.0,ignition by opening door; glow started by touching pilot flame,2023-04-13 14:52:09,2023-04-13 14:50:19,2023-04-13 14:50:14,,2023-04-13 14:50:54,
347,2022-11-01,SALLEU,P12,R4,RD,W,22.0,16,2.5,19.358,1.0,-0.8,V-shaped,,,25.3,45.0,0,,M,2023-04-13 14:58:51,2023-04-13 14:59:39,,,,,2023-04-13 14:58:52,23,2023-04-13 15:01:03,19.0,17.0,,,,,,,
348,2022-07-27,SALLEU,P2,R1,JL,W,25.0,12.7,5.1,23.686,9.0,-1.8,,,,34.3,32.0,1,,M,2023-04-13 14:06:41,2023-04-13 14:06:51,,,,,2023-04-13 14:06:45,19,2023-04-13 14:07:08,19.0,16.0,video started after sample was loaded; glowing before video started; video started at 13:57:25,,,,,,
349,2022-07-27,SALLEU,P2,R2,JL,W,25.0,6.2,3.6,18.715,0.0,-1.6,,2023-04-13 14:13:28,2023-04-13 14:13:28,33.5,33.0,1,14:15:54,M,2023-04-13 14:22:59,2023-04-13 14:23:04,,,,,2023-04-13 14:23:03,7,2023-04-13 14:29:31,19.0,16.0,only ignited stem; leaves fell off,2023-04-13 14:29:31,2023-04-13 14:23:03,2023-04-13 14:22:59,,2023-04-13 14:23:04,
350,2022-07-27,SALLEU,P2,R3,JL,W,25.0,11,6.9,21.563,9.0,-1.7,,2023-04-13 14:32:27,2023-04-13 14:32:27,32.6,33.0,1,14:35:03,1,2023-04-13 14:35:36,2023-04-13 14:35:49,,,,,2023-04-13 14:35:37,29,2023-04-13 14:39:18,19.0,16.0,,2023-04-13 14:39:18,2023-04-13 14:35:37,2023-04-13 14:35:36,,2023-04-13 14:35:49,
351,2022-07-27,SALLEU,P2,R4,JL,W,25.0,13.1,4.7,20.574,1.0,-1.6,,2023-04-13 14:41:28,2023-04-13 14:41:28,31.9,35.0,0,,1,2023-04-13 14:43:10,2023-04-13 14:43:15,,,,,2023-04-13 14:43:11,21,2023-04-13 14:44:13,19.0,16.0,,2023-04-13 14:44:13,2023-04-13 14:43:11,2023-04-13 14:43:10,,2023-04-13 14:43:15,
352,2022-07-27,SALLEU,P2,R5,JL,W,25.0,5.5,3.4,18.577,0.0,-1.8,,2023-04-13 14:46:50,2023-04-13 14:46:50,31.8,35.0,0,,M,2023-04-13 14:56:35,2023-04-13 14:56:54,,,,,2023-04-13 14:56:36,27,2023-04-13 14:57:36,19.0,16.0,,2023-04-13 14:57:36,2023-04-13 14:56:36,2023-04-13 14:56:35,,2023-04-13 14:56:54,
