label,species,plant_number,leaf_number,area_cm2,std_dev_cm2,x,y,xm,ym,perim,bx,by,width,height,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,ar,round,solidity,x_1,notes,,
ARTCAL_P6_R1_W_00001.jpg,ARTCAL,6,2,0.552158597,90.1662339,10.30719476,8.544705009,10.28080354,8.519216053,13.53925385,8.694267929,7.707145806,2.564830131,1.396313772,1.273241213,0.552157874,171.0100321,0.0378516,2.577288766,2061,1959,174.3640593,1.378766559,2.305936895,0.433663212,0.265066314,43,,,
ARTCAL_P6_R1_W_00001.jpg,ARTCAL,6,3,0.658806994,100.4495897,17.50855511,12.88509332,17.45861083,12.8632434,14.03875943,15.74333232,12.06904442,2.767316721,1.632548126,1.371843241,0.611454058,179.4883671,0.04200593,2.780384987,3732,3068,8.990703844,1.418681136,2.243575331,0.445717149,0.268317696,45,,,
ARTCAL_P6_R1_W_00001.jpg,ARTCAL,6,4,0.608178813,98.45304529,9.462452217,16.86818696,9.435111734,16.83907863,12.19076068,7.60168404,16.32126279,3.03729884,1.219138006,1.568856026,0.493580865,171.5221856,0.05142562,3.055990086,1802,3893,173.6598083,1.149506618,3.178518731,0.314611958,0.29124625,46,,,
ARTCAL_P6_R1_W_00001.jpg,ARTCAL,6,5,0.386518136,55.98747081,12.83111075,22.82361922,12.82228123,22.81507122,9.57796812,11.37299677,22.28618024,2.172512365,1.227574948,1.112155205,0.442501346,154.0727961,0.052945977,2.294514543,2696,5335,161.2319399,1.220264697,2.513337447,0.397877333,0.244106656,47,,,
ARTCAL_P7_R1_W_00001.jpg,ARTCAL,7,1,0.255632276,38.14778232,17.31786128,4.516915293,17.31663402,4.516833636,5.514094416,16.48156468,4.100353434,1.375221419,0.746669298,0.937666045,0.347118384,19.83996435,0.105651862,1.417035705,3907,1143,13.95350594,0.652462391,2.701286043,0.370194042,0.455735156,49,,,
ARTCAL_P7_R1_W_00001.jpg,ARTCAL,7,2,0.175018686,51.85339223,10.43621256,8.920825536,10.43096655,8.923398127,5.307265176,9.681390052,8.382101103,1.248667301,0.961811299,0.793346579,0.280886965,27.53380878,0.07808232,1.357620245,2295,2214,43.61509708,0.681824463,2.82443359,0.354053288,0.319219721,50,,,
ARTCAL_P7_R1_W_00001.jpg,ARTCAL,7,3,0.138537923,58.82571039,16.21799805,12.84563614,16.21263057,12.84928289,4.30518331,15.55771961,12.48667301,1.0335253,0.603241297,0.655810646,0.268967823,11.62364886,0.093928036,1.064501616,3688,3076,24.83857346,0.583282878,2.438249444,0.41013031,0.40507844,52,,,
ARTCAL_P7_R1_W_00001.jpg,ARTCAL,7,4,0.166939532,35.83027185,10.6547085,16.50194945,10.65308346,16.50280526,4.128183162,10.07792629,16.16096091,0.974466711,0.704484592,0.744876945,0.285354534,31.62734641,0.12309804,1.038343786,2389,3995,20.20186755,0.491087127,2.610356083,0.383089497,0.517501034,53,,,
ARTCAL_P7_R1_W_00001.jpg,ARTCAL,7,5,0.182866499,42.4425592,12.46528796,22.22405345,12.46849361,22.2246452,4.959097692,11.78218842,21.93604718,1.1769533,0.62433365,0.71486082,0.325703762,175.0697609,0.09344126,1.177142285,2793,5254,178.9733038,0.583680944,2.194819043,0.455618427,0.445089334,54,,,
ARTCAL_P8_R1_W_00001.jpg,ARTCAL,8,1,0.174378049,19.05156104,17.37228814,3.293423806,17.37213603,3.293342775,6.065317953,16.62499268,2.889652368,1.257104242,0.776198592,0.680840359,0.326104386,176.0222263,0.059565465,1.279893994,3941,755,169.1715333,0.674488759,2.087798839,0.478973348,0.294449953,60,,,
